id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
11,РАВНИНА,LOWLAND,лъарагӏлъири,ɬaraʕɬiri,,лъарагӏлъирил,лъарагӏлъирди,n,,0,0,0,"Местность невысоко над уровнем моря, в противовес “горам”. В Дагестане — участок суши вдоль Каспийского моря.",1. Мой сын уехал жить на равнину. 2. У нашего селения есть пастбища на равнине. 3. Мы собрались на поляне (на ровном месте). - Див вохья вуа гӏумру гигьеду лъарагӏлъирилар. 2. Ищиб гьанилъилӏе хъутанди эгу лъарагӏлъирила.
11,РАВНИНА,LOWLAND,байданлъири,bajdanɬiri,,байданлъирил,байданлъирди,n,,0,0,0,"Местность невысоко над уровнем моря, в противовес “горам”. В Дагестане — участок суши вдоль Каспийского моря.",1. Мой сын уехал жить на равнину. 2. У нашего селения есть пастбища на равнине. 3. Мы собрались на поляне (на ровном месте). - Див вохья вуа гӏумру гигьеду лъарагӏлъирилар. 2. Ищиб гьанилъилӏе хъутанди эгу лъарагӏлъирила.
12,ДОЛИНА,VALLEY,бейдан,bejdan,,бейданлъил,бейданди,n,,0,0,0,"Низменность между двумя горами; как правило, область, где протекает река.",Долина находится между горами.  - Авлахъ (байдан) бесабадачӏ бакьихъ эгу.
12,ДОЛИНА,VALLEY,гӏалах,ʕalaχ,,гӏалахлъил,гӏалахди,n,,0,0,0,"Низменность между двумя горами; как правило, область, где протекает река.",Долина находится между горами.  - Авлахъ (байдан) бесабадачӏ бакьихъ эгу.
13,ПЕЩЕРА,CAVE,речӏчӏа,rečʼːa,,речӏчӏал,речӏчӏабади,n,речӏчӏеникӏубе гӏадамади - люди в пещере,410,0,0,"Естественное подземное пространство, обычно связанное с поверхностное и достаточно большое, чтобы человек мог в него войти.","1. Во время дождя мы укрылись в пещере. 2. Раньше люди жили не в домах, а в пещерах.- хӏхӏой чӏордукъолӏи ищи речӏчӏени эби. 2. Ссе заманалъид гӏадамади гӏумругигьибах букӏу мисалдени гьачӏуб речӏчӏабадахъ."
14,ВОДА,WATER,лълъим,ɬːin,,лълъинлӏил,лълъинди,n,,430,188,93,"Пресная вода, пригодная для питья. Отличать от специализированных терминов: ‘морская вода’, ‘загнившая вода’, ‘текущая вода’ (= струя, родник, ручей) и т. п. (GLD)",1. Человек не может жить без воды. (GLD) 2. Он пьет воду. (GLD) 3. Она набрала в сосуд воды. (GLD) - гӏадамиба лъим гьачӏи гӏумру гигье гиндечӏи. 2. Вудищуд лъим хӏхӏардегу. 3. Вудилъид лъим бехӏи.
15,МОРЕ,SEA,релъа,reɬa,,релъадал,релъабади,n,,415,136,0,"Самое общее слово для крупной массы солёной воды. Избегать слов для его частей, например, ‘бухта’, ‘залив’ и т.д. Не использовать скорее картографических терминов, как, например, ‘океан’. (CoBL)",1. Река спускается с гор и впадает в море. 2. Морская вода — солёная. - 1. Гьерсса  бесалагиба кекьир релъадалӏир чваххиде. 2.Релъадал лъим чӏугӏаб эгу.
16,ПЕНА,FOAM,пала,pala,,палалъил,-,n,,438,0,0,"Пузырьки воздуха, образующиеся на бурной воде. Если для мыльной пены существует другой термин, использовать слово для бурной воды. Отличать от пены на мясе, пены на лошади.",В бурной реке у камней пена. - Гьалагисс  гьерссалӏе гӏанчибала пала эгу.
17,ОЗЕРО,LAKE,игьур,ihur,,игьурал,игьурди,n,,414,89,0,"Закрытый пресноводный водоём, не соединённый с морем.","1. В озеро впадает река, а в болото — нет. 2. Озеро меньше моря. - Игьуралӏир гьерсса чваххиде, амма хьяхӏхӏулӏир гьачӏи."
18,РЕКА,RIVER,гьерсса,hersːa,,гьерссал,гьерссабади,n,,412,125,0,"Нейтральное слово для потока свежей воды, текущего по углублению над землёй, обычно впадающего в озеро или море. Избегать терминов для маленьких или больших рек. (CoBL)",1. Река течёт от гор к морю. 2. В нашей реке много рыбы. - Гьерсса чваххидакӏа бесабадалагиба релъадагьар. 2. Ищиб иххилӏи саругу ччугӏа эгу.
19,РУЧЕЙ,CREEK,иххи,iχːi,,иххил,иххибади,n,,413,0,0,"Постоянный поток воды, через который легко перешагнуть. Отличать от спонтанно возникающих потоков вылитой жидкости.",Ручей спускается с горы и впадает в реку. - Иххи чваххидегу бесалагиба кекьир гьерссалӏир.
20,РОДНИК,SPRING,инцци,incːi,,инццил,инццибади,n,,417,0,0,"Естественный источник воды, бьющий из-под земли.",Женщины ходят с кувшином к роднику. - Гьаркӏкӏе муудакӏа гӏанзукӏин инццилар.
21,БОЛОТО,SWAMP,хьяцӏцӏу,xʲacʼːu,,хьяцӏцӏулал,"хьяцӏцӏаби, хьяцӏцӏубади",n,,416,0,0,"Область постоянно стоячей воды, часто с ростом в ней деревьев. (Concepticon)","1. В озеро впадает река, а в болото — нет. 2. Ходить по болоту опасно. - 1. Игьуралӏир гьерсса чваххиде, амма хьяхӏхӏулӏир гьачӏи. 2. Хьяхӏхӏулала арахъиба белӏе льебуб эгу."
22,ЛЕС,FOREST,рохьу,rоxu,,рохьул,"рохьалди, рохьубади",n,рохьулӏи - в лесу,191,203,0,"Самый общий термин для густого множества деревьев, покрывающего определённую местность. Отличать от специализированных терминов вроде «рощи». (CoBL)",1. В лесу живут медведи. 2. В лесу много деревьев. - 1. Рохьулӏи синди рукӏудакӏа. 2. Рохьулӏи саругу рухьялди эгу.
23,КАМЕНЬ,STONE,гӏанча,ʕanča,,гӏанчил,гӏанчиби,n,,428,161,82,"Камень среднего размера, который можно взять в руку (и использовать как орудие). Отличать от специализированных названий мелких камней (‘галька’, ‘щебень’ и т. п.) и крупных камней (‘глыба’, ‘скала’, ‘валун’ и т. п.). (GLD)",1. Он взял в руку камень. 2. Он бросил камень в птицу. 3. Он забил в землю колышек камнем. - Вудищуд коди гӏанча бигьи. 2. Вудищуд гӏанча щакибачӏ керчӏчӏи. 3. Вудищуд  гӏанчикӏин гӏунщилӏир хӏули чӏини.
24,КАМЕШЕК,PEBBLE,чахха,čaχːa,,чаххил,чаххиби,n,,429,0,0,"Маленький камень, гладкий от контакта с водой. (CoBL)",1. На берегу реки много мелких камешков. 2. Мне в обувь попал камешек. - 1. Гьерссал регӏила кьанихъ кӏкӏянуб чахха эгу.
25,ГРАВИЙ,GRAVEL,чахха,čaχːa,,чаххил,-,n,,424,0,0,"Мелкие каменные осколки, использующиеся при строительстве дорог. (ДАТЬ КАРТИНКУ)",После дождей мы покрыли дорогу щебнем. - хӏхӏойди чӏолибах сарух ищид микъалар чахха оли.
26,НЕБО,SKY,рехьин,rexin,,рехьинул,рехьинди,n,,418,145,0,"Самое общее слово для части земной атмосферы и пространства вне её, видимого с поверхности земли. В течение дня оно выглядит голубым, ночью — чёрным. Избегать религиозной терминологии (‘небеса’ и под.). (CoBL)",На голубом небе были белые облака. (CoBL) - Хъел рехьиндакъи рукӏу хъахӏуре кьергьанди.
27,СОЛНЦЕ,SUN,милъи,miɬi,,милъилал,милъибади,n,,419,164,83,"Самое общее слово для звезды в центре нашей солнечной системы, от которой Земля получает свет и тепло. Избегать терминов для ‘дневного времени’. (CoBL)","1. Ночью на небе видны звезды и луна, а днем солнце. (GLD) 2. Посмотри на солнце. (GLD) - 1. Гьадали рехьиндакьи рердакӏа хӏобдил пурхӏхӏил, гьели милъи. 2. Милъилахъ кьониби."
28,ЛУНА,MOON,пурцӏцӏи,purcʼːi,,пурцӏцӏил,пурцӏцӏибади,n,,420,102,55,"Самое общее слово для естественного спутника планеты Земля. Избегать слов для отдельных стадий луны, напр. ‘(полу)месяц’. Избегать слов, чьим основным значением является скорее единица времени ‘месяц’. (CoBL)","1. Днем светит солнце, а ночью — луна. 2. На небе круглая луна. - Гьели   къалъкъалъидакӏа милъи, гьадали - пурхӏхӏи. 2. Рехьиндакьи гиргямуб пурхӏхӏи эгу."
29,ЗВЕЗДА,STAR,цӏцӏой,cʼːоj,,цӏцӏойлъил,цӏцӏобди,n,,421,159,81,"Самое общее слово для светящегося небесного тела, видимого в основном ночью. (CoBL)","1. Ночью на небе видны звезды и луна, а днем солнце. (GLD) 2. Вон яркая звезда. (GLD) -1. Гьадали рехьиндакьи рердакӏа хӏобдил пурхӏхӏил, гьели милъи. 2. Вулиби къалъилдуб хӏхӏой."
30,МОЛНИЯ,LIGHTNING,пири,piri,,пирил,пирибади,n,,441,0,0,"Вспышка света, вызванная атмосферным электрическим разрядом. (Concepticon)","1. Молния ударила в дерево. 2. Начался дождь, раздался гром и вдали сверкнула молния. - Пири рухьулӏи багӏа. 2. хӏхӏой байбихьили, гъоргъули, чӏчӏиду пири паркъили."
31,ГРОМ,THUNDER,гъоргъулири,ʁоrʁuliri,,гъоргъулирил,гъоргъулирди,n,,0,0,0,"Звук, производимый при ударе молнии.","1. Начался дождь, раздрался гром и вдали сверкнула молния. 2. Если слышен гром, то скоро будет дождь. - хӏхӏой байбихьили, гъоргъули, чӏчӏиду пири паркъили. 2. Гъоргъулири анлъида мисен, гьабсагӏалӏи хӏхӏой чӏордакӏа."
32,РАДУГА,RAINBOW,цӏабалцӏюв,cʼabalcʼʲuw,,цӏабалцӏювлъил,цӏабалцӏювди,n,,0,0,0,"Разноцветная арка в небе, вызванная отражением света от капелек воды в воздухе.",После дождя на небе появляется радуга. - хӏхӏой белӏибах сарух рехьиндакьи буххидакӏа хӏабалхӏюв.
33,СВЕТ,LIGHT,кону,kоnu,,конул,конубади,n,,444,0,0,"Искусственный свет, например, от костра или лампы. Отличать от ‘костра’, ‘факела’, ‘фонаря’ и прочих источников света.","1. В этой комнате темно, мне нужен свет. 2. Мы увидели вдали свет, это был костёр. - Гьаб мисуни ххунтӏулъибахх эгу, дилъа кону къорабах эгу. 2. Ищиба бела чӏчӏиду кону, гьоб хӏе букӏа."
34,ТЕНЬ,SHADOW,гӏанччва,ʕančʷːa,,гӏанччвал,гӏанччвабади,n,гӏанччвалакьи - в тени,445,213,0,"Тёмная область, вызванная перекрытием солнечного света телом человека. (CoBL)",1. Он видел на земле свою тень. (CoBL) 2. Вечером тени становятся длиннее. -Вудищуба бела чӏабарила инщубги гӏанччва. 2. Маркӏачӏулӏи  гӏанччвабади реххилалъидакӏа.
35,РОСА,DEW,щиби,šːibi,,щибил,щибибади,n,,432,0,0,"Атмосферная влага, которая конденсируется после тёплого дня и ночью появляется в виде маленьких капель на прохладных поверхностях. (Concepticon)","Ночью не было дождя, но на траве роса. - Гьадали хӏхӏой чӏоличӏи, амма жумила щиби эгу."
36,ВЕТЕР,WIND,"муНчу, мучу","mũču, muču",,муНчулал,муНчубади,n,,446,198,108,"Общий термин: ‘ветер’ как движение воздуха. Следует отличать от конкретных наименований ветров (различающихся, напр., по сторонам света или по степени силы). Также отличать от наречий ‘с подветренной стороны’ и ‘с заветренной стороны’.  (GLD)",1. Облака гонит ветер. (GLD) 2. Ветер дул ему в лицо. - Кьергьанди хъанде мучулад. 2. Мучу пудегу вудищуба багӏулӏир.
37,ОБЛАКО,CLOUD,кьергьан,ʟʼerhan,,кьергьанул,кьергьанди,n,,437,22,13,"Общий термин для белого облака в небе. Избегать слов для облаков на уровне земли (туман, мгла). Избегать терминов для конкретных типов облаков, вроде ‘тучи’ и специальных метеорологических терминов. (CoBL)","1. На небе белое облако. 2. Облако не дает дождя, а туча дает. - Рехьиндакьи хъахӏуб кьергьан эгу. 2.  Цеб кьергьанлъид хӏхӏой бихьидечӏи, кьергьандад бихьидакӏа."
38,ТУМАН,FOG,гьера,hera,,гьерал,гьерабади,n,,437,57,0,"Плотное облако, находящееся вблизи поверхности земли.",1. Утром я не видел соседнее селение из-за тумана. 2. Туман часто выпадает по утрам. - Рагьадиба диба белачӏи лъаргьакӏуб гьани гьера сабалъи. 2. Гьера кьанихъисбал билъидакӏа рагьадиба.
39,ДОЖДЬ,RAIN,цӏцӏой,cʼːоj,,цӏцӏойлӏил,цӏцӏойди,n,,433,121,66,"Влажные осадки (общий термин). Избегать слов для отдельных видов дождя (‘ливень’, ‘грибной дождь’). (CoBL)","1. Дождь — это небесная вода. (GLD)  2. Посмотри на дождь, он пока еще не очень сильный. (GLD) - хӏхӏой - гьоб рехьиндал лъин эгу. 2. Кьаниби хӏхӏодолахъ, гьоб жерала къуватисс гьачӏи."
40,СНЕГ,SNOW,гӏанзи,ʕanzi,,гӏанзилал,гӏанзибади,n,,434,152,0,"Общий термин для самого обычного в данном ареале вида замёрзших осадков (чаще всего, снежные хлопья или маленькие кристаллы). (CoBL)",1. Зимой выпадает снег. 2. На земле лежал снег. (CoBL) - Ццебира рукӏудакӏа гӏанзи. 2. Чӏабарила гӏанзи эгу.
41,ГРАД,HAIL,гору,gоru,,горул,горубади,n,,0,0,0,Осадки в форме частиц льда.,Град повредил крышу дома. - Горид бичӏали мисул чардагъ.
42,ИДТИ (О ДОЖДЕ),RAIN (V),цӏцӏой чӏоледу,cʼːоj čʼоrdegu,цӏцӏой чӏорда эгу (цӏцӏой чӏордегу),цӏцӏой чӏоли,цӏцӏой чӏолиби,v,,0,0,0,Падать с неба в виде мокрых осадков.,"1. На улице идёт дождь, оставайся дома. 2. Сегодня прошёл дождь, и земля мокрая. - Къотӏи хӏхӏой чӏордегу, къела вугъаби. 2. Желъили хӏхӏой чӏоли, гӏунщи чӏалуб эгу."
43,ЛЁД,ICE,зари,zari,,зарил,зарибади,n,,436,83,0,Вода в твёрдом состоянии. (CoBL),1. Зимой озеро покрыто льдом. 2. На солнце лёд тает. - Ццебира игьур зарид бацулибах эгу. 2. Милъилакьи зари бихӏидегу.
44,ИНЕЙ,FROST,гӏасари,ʕasari,,гӏасарил,гӏасарибади,n,,435,0,0,"Кристаллы льда на земле. траве, деревьях и других объектах.","Снег ещё не выпал, но утром на траве иней. - гӏанзи жерала рукӏубахх гьачӏи, амма рагьадиба жумила гӏасари букӏудакӏа."
45,МЁРЗНУТЬ,FREEZE,гӏеледу,ʕerdegu,гӏерда эгу (гӏердегу),гӏели,гӏелиби,v,,187,60,0,Переходить из жидкого состояния в твёрдое под действием холода.,1. Зимой вода на озере замёрзла. 2. На холоде вода замерзает. - Ццебира лъим игьурала гӏели. 2. Залъурила лъим гӏердакӏа.
46,ТАЯТЬ,MELT (INTR),бицӏеду,-icʼidegu,бицӏида эгу (бицӏидегу),бицӏи,бицӏаби,v,"вуцӏи, йицӏи, бицӏи, бицӏи, рицӏи",54,0,0,Переходить из твёрдого состояния в жидкое (о воде).,"1. Наступила весна, и весь снег растаял. 2. На солнце лёд тает. - гӏелиб багӏа, эгубал гӏанзи бихӏа."
47,РАСТАПЛИВАТЬ,MELT (TR),бицӏаледу,-icʼaldegu,бицӏалда эгу (бицӏалдегу),бицӏали,бицӏала,v,"вуцӏали, йицӏали, бицӏали, бицӏали, рицӏали",55,0,0,Превращать лёд и снег из твёрдого состояния в жидкое воздействием тепла.,Весной солнце растопило снег и лёд. - гӏелиба милъилад бихӏали гӏанзил зарил.
48,ОГОНЬ,FIRE,цӏе,cʼe,,цӏел / цӏелӏи,цӏебди,n,,440,50,27,"Состояние горения материала, в процессе которого выделяется тепло, пламя и дым. (CoBL)",1. Вдалеке я вижу огонь. 2. Он потушил огонь водой. 3. Огонь может обжечь. - Чӏчӏиду диба бердегу хӏе. 2. Вудищуд мищоли хӏе лъимкӏин. 3. хӏед бежале хьолъидакӏа.
49,ДЫМ,SMOKE,кӏкӏуНй,kʼːũj,,кӏкӏуНйал,кӏкӏуНйди,n,,442,149,79,"Дым как результат горения дерева, травы, кизяка (но не после кремации). Следует отличать от ‘пара’, а также специальных видов дыма (напр., ‘(густой) черный дым’). (GLD)","1. Когда нет ветра, дым от костра поднимается прямо вверх. (GLD) 2. Дым ест мне глаза. (GLD) - Мучу гьачӏукъолӏи, кӏкуй хӏегьагиба дандибитӏилъи гьалуба гьерхӏидакӏа."
50,ЗОЛА,ASH,кье,ʟʼe,,кьел,кьебади,n,,443,4,2,"Зола как продукт сгорания дерева, травы, кизяка (но не после кремации, как в русском прах). Отличать от маркированных «табачного пепла», «вулканического пепла», а также «жара костра» (неостывшая зола, см. контекст 3). (GLD)",1. От костра осталась одна зола и угли. (GLD) 2. Ветер развеял золу. (GLD) 3. Он взял в горсть золу. (GLD) - хӏечӏ гьедахх бехху кьел гьобал. 2. Мучулад бигьигьи кье.  3.Вудищуд хъатили кье бигьи.
51,ГОРЕТЬ,BURN (INTR),болъеду,-oɬidegu,болъида эгу (болъидегу),болъи,болъиби,v,"волъи, йолъи, болъи, болъи, ролъи",56,20,0,Быть поглощаемым огнём.,"1. Мой дом горит, принесите воду! 2. У моего брата сгорел дом, и он живёт у нас. - Диб миса болъидегу, лъим багьа! 2. Див вацищуб миса болъи, вудив ищичӏ гӏумругигьох эгу."
52,ЖЕЧЬ,BURN (TR),болъаледу,-oɬaldegu,болъалда эгу (болъалдегу),болъали,болъа,v,"волъали, йолъали, болъали, болъали, ролъали",57,0,12,"Переходный глагол (не ‘гореть’). Отличать от ‘зажечь’, ‘поджечь’ и от маркированного ‘сжечь дотла’.  (GLD)",1. Он сжёг все дрова. 2. Зачем ты жжёшь старую одежду? (GLD) - Вудищуд болъи эгубал гьуди. 2. Суна минди болъидеб кьураб жила?
53,ЗАГОРАТЬСЯ,START BURNING,бекведу,-ekudegu,бекуда эгу (бекудегу),беку,бекуби,v,"воку, йеку, беку, беку, реку",58,0,0,Начать гореть от внешнего воздействия.,Трава загорелась от пламени костра. - Жуми беку хӏелӏи махӏилъичӏба..
54,ЗАЖИГАТЬ,IGNITE,бекваледу,-ekʷaldegu,беквалда эгу (беквалдегу),беквали,беквала,v,"воквали, йеквали, беквали, беквали, реквали",59,0,0,Заставить гореть.,Я зажёг костёр спичками и бумагой.
55,ГАСНУТЬ,BECOME EXTINGUISHED,миНщведу,-ĩšːudegu,миНщуда эгу (миНщудегу),миНщу,миНщуби,v,"вуНщу, йиНщу, миНщу, миНщу, ниНщу",60,0,0,Прекратить гореть.,"1. Мы налили воду, и костёр погас. 2. Под дождём огонь гаснет."
56,ТУШИТЬ,EXTINGUISH,миНщваледу,-ĩšːʷaldegu,миНщвалда эгу (миНщвалдегу),миНщвали,миНщвала,v,"миНщвали, ниНщвали",61,0,0,Прервать процесс горения путём внешнего воздействия.,"1 (СВ). Мой дом загорелся, но сельчане быстро его потушили. 2 (НСВ). Не мешайте людям, они тушат пожар!"
57,ОСТЫВАТЬ,BECOME COLD,зарилъеду,zariɬidegu,зарилъида эгу (зарилъидегу),зарилъи,заригьа,v,,62,0,0,"Переходить из горячего состояния в холодное (например, о еде).","1 (СВ). Еда уже остыла, придётся её греть. 2 (НСВ). В холодное время еда быстро остывает.- Къамири зарилъи, ансагьеду бухьас. 2. Залъуб заманалъид къамири паркъа зарилъидакӏа."
58,ДРОВА,FIREWOOD,гьуди-цӏули,hudi-cʼuli,,гьуди-цӏулилъил,-,n,,349,0,0,"Дерево, предназначенное для сжигания.",Мы собрали дрова и разожгли костёр. - Ищид гьуди-хӏулил бакӏарили хӏе беквали.
59,УГОЛЬ,CHARCOAL,гьоба,hоba,,гьобал,-,n,,351,0,0,"Сухое топливо, полученное путём нагревания древесины в отсутствие воздуха.","1. На земле были угли от потухшего костра. 2. Мы разожгли самовар углём, а не дровами."
60,УГОЛЁК,CHARCOAL PIECE,кьохил цӏе,ʟʼоχil cʼe,,кьохил цӏел,кьохилӏе цӏебди,n,,0,0,0,Одна гранула древесного угля.,Из очага выпал уголёк.
61,ГОРЯЩИЙ УГОЛЬ,EMBERS,гьерилъуб гьоба,heriɬub hоba,,гьерилъуб гьобал,гьерилъуре гьобабади,n,,0,0,0,Маленький горящий уголёк в гаснущем огне.,1. Эти угли ещё горячие. 2. Мы положили мясо на угли.
62,КИЗЯК,DUNG FUEL,кила,kila,,килул,-,n,,350,0,0,"Засохший помёт животных, используемый как топливо.","Зимой мы топим печь кизяками, а не дровами."
63,ЧЕЛОВЕК,PERSON,"гӏадам, гӏадан","ʕadam, ʕadan",,гӏадамиб,гӏадамади,n,,0,117,52,"Базисный термин, обозначающий человека как вид, безотносительно к половой принадлежности. (GLD)","1. В кустах что-то шевелится, я не понимаю, это человек или зверь. (GLD)  2. Человек умеет говорить, а животное — нет. (GLD) 3. Если на этот мост встанет ещё один человек, мост развалится."
64,МУЖЧИНА,MAN,гьекӏва,hekʼʷa,,гьекӏващуб,гьекӏвабади,n,,110,99,51,"Взрослый человек мужского пола. Отличать от понятия ‘самец’ (‘male’), если для последнего существует отдельное слово, равно как и от обозначения человека вообще (‘person’ / ‘human being’). Контекст 1 является культурно обусловленным; здесь следует подставлять наименования типичных для данного социума мужского и женского занятий (охота, готовка и т. п.). Если в языке нет общего слова для ‘мужчины’, а имеется спецификация по возрастным группам, то соответствующие лексемы для возраста примерно 20—45 лет надо брать как синонимы. Отличать от специальных наименований холостяка, вдовца и т. п. Те же контексты, что и для №98 ‘женщина’. (GLD)","1. Мужчины делают [X], а женщины делают [Y]. (GLD)  2. Женщины рожают детей, а мужчины — нет. (GLD)"
64,МУЖЧИНА,MAN,кунтӏав (гӏадам),kuntʼaw (ʕadam),,кунтӏав гӏадамщуб,кунтӏабе гӏадамади,n,,110,99,51,"Взрослый человек мужского пола. Отличать от понятия ‘самец’ (‘male’), если для последнего существует отдельное слово, равно как и от обозначения человека вообще (‘person’ / ‘human being’). Контекст 1 является культурно обусловленным; здесь следует подставлять наименования типичных для данного социума мужского и женского занятий (охота, готовка и т. п.). Если в языке нет общего слова для ‘мужчины’, а имеется спецификация по возрастным группам, то соответствующие лексемы для возраста примерно 20—45 лет надо брать как синонимы. Отличать от специальных наименований холостяка, вдовца и т. п. Те же контексты, что и для №98 ‘женщина’. (GLD)","1. Мужчины делают [X], а женщины делают [Y]. (GLD)  2. Женщины рожают детей, а мужчины — нет. (GLD)"
65,ЖЕНЩИНА,WOMAN,гьаркӏкӏуй гӏадам,harkʼːuj ʕadam,,гьаркӏкӏуй гӏадамлъил,гьаркӏкӏубе гӏадамади,n,,111,202,98,"Самое общее слово для взрослого человека женского пола. Избегать терминов родства и отношения там, где они отличаются. Избегать специальных слов для молодых или пожилых женщин. Избегать маркированных вежливых форм, таких, как ‘госпожа’ и т.д. (CoBL)","1. Мужчины делают [X], а женщины делают [Y]. (GLD) 2. Женщины рожают детей, а мужчины — нет. (GLD)"
66,САМЕЦ,MALE ANIMAL,кунтӏаб,kuntʼab,,,,n,множ. кунтӏе,474,0,0,"Животное мужского пола. Включать в список, только если есть общее слово для всех животных.",
67,САМКА,FEMALE ANIMAL,гьаркӏкӏуб,harkʼːub,,,,n,множ. гьаркӏкӏе,475,0,0,"Животное женского пола. Включать в список, только если есть общее слово для всех животных.",
